# Lon        | Lat          | Moho Depth   | Count   | Station    | Min Err      | Mean Err     | Variance     | Score 
-1.741975e+02  +5.220160e+01  +4.243575e+01  0134     AK-ATKA-  +6.117553e-02  -1.253111e+01  +9.034968e+00  +1.100000e+00
-1.717035e+02  +6.377580e+01  +3.332360e+01  0388     AK-GAMB-  +1.064044e-01  -1.510529e+00  +2.164925e+00  +2.100000e+00
-1.702477e+02  +5.717660e+01  +2.923481e+01  0105     AK-SPIA-  +7.361107e-02  +4.355321e+00  +5.558165e+00  +1.100000e+00
-1.688550e+02  +5.297210e+01  +1.965537e+01  0110     AK-NIKH-  +1.498774e+00  +1.246366e+01  +3.979702e+00  +1.100000e+00
-1.681619e+02  +5.335650e+01  +2.596379e+01  0027     AV-OKSO-  +7.498767e-03  +6.651352e+00  +2.885078e+00  +1.100000e+00
-1.679264e+02  +6.556010e+01  +3.285631e+01  0387      AK-TNA-  +6.677743e-03  +9.389836e-01  +2.397887e+00  +2.100000e+00
-1.669407e+02  +5.380820e+01  +3.729556e+01  0013     AV-MAPS-  +2.052400e+00  -4.469223e+00  +1.857145e+00  +1.100000e+00
-1.668780e+02  +5.379380e+01  +4.044977e+01  0013   AV-MGOD-00  +5.263602e+00  -7.745267e+00  +1.844334e+00  +1.100000e+00
-1.665040e+02  +5.384560e+01  +3.460865e+01  0133      AK-UNV-  +9.364138e-02  -1.763774e+00  +2.029314e+00  +2.100000e+00
-1.663288e+02  +6.547420e+01  +3.179389e+01  0045     TA-F14K-  +1.925286e-01  +1.587634e+00  +9.868768e-01  +2.100000e+00
-1.662011e+02  +6.038490e+01  +3.408397e+01  0017     TA-M11K-  +1.097858e-02  -2.726856e+00  +1.971220e+00  +2.100000e+00
-1.660708e+02  +5.412920e+01  +3.671145e+01  0069     AV-AKRB-  +1.286626e+00  -4.080107e+00  +1.708952e+00  +2.100000e+00
-1.659936e+02  +5.419790e+01  +3.442620e+01  0025     AV-AKGG-  +1.811057e-02  -1.479890e+00  +2.449838e+00  +2.100000e+00
-1.659576e+02  +5.416180e+01  +3.098715e+01  0037     AV-AKLV-  +8.011977e-01  +2.691905e+00  +2.074017e+00  +2.100000e+00
-1.659338e+02  +5.409750e+01  +3.192173e+01  0011     AV-AKBB-  +6.507617e-02  +1.373610e+00  +2.015271e+00  +2.100000e+00
-1.657719e+02  +5.413517e+01  +4.009930e+01  0033     AT-AKUT-  +3.624326e+00  -8.028149e+00  +1.768500e+00  +1.100000e+00
-1.653732e+02  +6.456460e+01  +3.308995e+01  0139      AK-ANM-  +7.011802e-03  +2.010466e-01  +1.013752e+00  +2.100000e+00
-1.653436e+02  +6.827460e+01  +5.377863e+01  0025     TA-C16K-  +1.464095e-01  -1.167716e+01  +5.302209e+00  +1.100000e+00
-1.653383e+02  +6.456950e+01  +3.285631e+01  0075    XR-NOM-01  +7.468696e-02  +4.960632e-01  +1.107838e+00  +2.100000e+00
-1.646555e+02  +6.193310e+01  +2.828244e+01  0033     TA-K13K-  +1.068848e-01  +6.228371e+00  +3.591984e+00  +1.100000e+00
-1.646483e+02  +6.570770e+01  +3.118321e+01  0048     TA-F15K-  +4.034258e-01  +2.449416e+00  +1.112837e+00  +2.100000e+00
-1.640386e+02  +6.499410e+01  +3.454198e+01  0037     TA-G15K-  +1.813427e-02  -1.025563e+00  +8.060591e-01  +2.100000e+00
-1.635540e+02  +6.274920e+01  +3.576336e+01  0057     TA-J14K-  +3.471607e-03  -2.319000e+00  +2.673189e+00  +2.100000e+00
-1.634175e+02  +5.485640e+01  +2.397780e+01  0102     AK-FALS-  +2.887871e+00  +1.207356e+01  +6.025551e+00  +1.000000e-01
-1.631776e+02  +6.847530e+01  +5.270992e+01  0013     TA-C17K-  +6.677483e+00  -1.205623e+01  +2.274763e+00  +1.100000e+00
-1.630831e+02  +6.769880e+01  +3.500000e+01  0018     TA-D17K-  +1.048701e+00  +4.202276e+00  +1.993439e+00  +2.100000e+00
-1.629080e+02  +6.805410e+01  +4.208528e+01  0145     AK-RDOG-  +3.519671e-02  -2.481355e+00  +1.968629e+00  +2.100000e+00
-1.626829e+02  +6.134160e+01  +3.729008e+01  0046     TA-L14K-  +5.367471e-02  -5.209814e+00  +3.400807e+00  +1.100000e+00
-1.623547e+02  +6.539360e+01  +3.316794e+01  0047     TA-G16K-  +9.913829e-04  +1.468708e+00  +6.925466e-01  +2.100000e+00
-1.622390e+02  +6.463790e+01  +3.545802e+01  0041     TA-H16K-  +7.966146e-04  -8.317621e-01  +2.936452e+00  +2.100000e+00
-1.619600e+02  +6.075150e+01  +2.278626e+01  0026     TA-M14K-  +1.116121e+01  +1.380419e+01  +3.564416e+00  +1.000000e-01
-1.618262e+02  +6.708200e+01  +2.461832e+01  0038     TA-E17K-  +8.473703e+00  +1.218639e+01  +1.564761e+00  +1.000000e-01
-1.618016e+02  +6.936410e+01  +2.461832e+01  0010     TA-B18K-  +1.260442e+01  +1.830711e+01  +3.969586e+00  +1.000000e-01
-1.616852e+02  +5.992370e+01  +4.202290e+01  0025     TA-N14K-  +2.822135e+00  -6.614613e+00  +1.817154e+00  +1.100000e+00
-1.615308e+02  +6.229380e+01  +3.835878e+01  0045     TA-K15K-  +1.760339e-01  -3.693085e+00  +2.549972e+00  +2.100000e+00
-1.614869e+02  +6.167800e+01  +2.904580e+01  0050     TA-L15K-  +1.367135e+00  +6.478348e+00  +3.348966e+00  +1.100000e+00
-1.612778e+02  +6.540150e+01  +3.449182e+01  0105    XR-GTM-01  +1.291966e-02  +1.012283e+00  +5.128600e-01  +2.100000e+00
-1.612638e+02  +5.925330e+01  +4.003817e+01  0038     TA-O14K-  +1.264874e-02  -1.704103e+00  +2.041974e+00  +2.100000e+00
-1.612502e+02  +6.644200e+01  +3.500000e+01  0031     TA-F17K-  +4.791119e-02  -1.111379e+00  +2.586239e+00  +2.100000e+00
-1.611943e+02  +6.864830e+01  +4.889313e+01  0024     TA-C18K-  +4.890357e+00  -9.509586e+00  +4.565031e+00  +1.000000e-01
-1.610713e+02  +7.020430e+01  +3.606870e+01  0001     TA-A19K-  +4.067139e-02  +3.728453e+00  +3.761514e+00  +1.100000e+00
-1.606950e+02  +6.388640e+01  +3.347328e+01  0048     TA-I17K-  +2.796200e-01  +3.890105e+00  +1.335475e+00  +2.100000e+00
-1.606884e+02  +6.069470e+01  +3.454198e+01  0047     TA-M15K-  +5.827266e-02  +6.553750e-01  +1.946813e+00  +2.100000e+00
-1.606514e+02  +6.550110e+01  +3.469466e+01  0045     TA-G17K-  +4.352420e-03  +1.537045e+00  +5.226037e-01  +2.100000e+00
-1.606027e+02  +6.742130e+01  +3.179389e+01  0040     TA-E18K-  +1.636850e-01  +5.266656e+00  +2.582195e+00  +2.100000e+00
-1.606021e+02  +6.328420e+01  +4.171756e+01  0048     TA-J16K-  +4.391534e+00  -6.826593e+00  +1.052531e+00  +1.100000e+00
-1.600921e+02  +6.016860e+01  +4.049618e+01  0046     TA-N15K-  +2.235068e+00  -4.300734e+00  +6.965959e-01  +1.100000e+00
-1.599126e+02  +6.493700e+01  +4.232824e+01  0049     TA-H17K-  +1.185075e+00  -5.635682e+00  +9.737143e-01  +2.100000e+00
-1.598246e+02  +5.917670e+01  +3.973282e+01  0033     TA-O15K-  +1.251661e-01  -3.911123e+00  +2.311231e+00  +2.100000e+00
-1.596514e+02  +6.660010e+01  +3.973282e+01  0008     TA-F18K-  +2.125475e+00  -4.476993e+00  +1.223194e+00  +1.100000e+00
-1.595895e+02  +5.483100e+01  +2.094042e+01  0018      AK-CHN-  +6.974264e-01  +1.007403e+01  +1.245275e+01  +1.100000e+00
-1.595874e+02  +6.910490e+01  +4.583969e+01  0017     TA-C19K-  +2.095962e-02  -4.692543e+00  +4.757234e+00  +1.100000e+00
-1.594747e+02  +6.171050e+01  +3.652672e+01  0053     TA-L16K-  +1.468798e-03  -1.122024e+00  +1.113255e+00  +2.100000e+00
-1.590777e+02  +6.339650e+01  +3.148855e+01  0022     TA-J17K-  +3.138275e+00  +5.684946e+00  +1.037883e+00  +1.100000e+00
-1.589593e+02  +6.102240e+01  +4.003817e+01  0043     TA-M16K-  +1.582775e+00  -5.045825e+00  +1.204510e+00  +2.100000e+00
-1.587690e+02  +6.047420e+01  +3.805344e+01  0047     TA-N16K-  +4.743250e-04  -1.625177e+00  +6.928887e-01  +2.100000e+00
-1.586540e+02  +6.589500e+01  +3.515267e+01  0041     TA-G18K-  +2.780580e-01  +2.595930e+00  +9.952182e-01  +2.100000e+00
-1.584142e+02  +5.630140e+01  +4.044977e+01  0066     AT-CHGN-  +2.963712e+00  -9.709792e+00  +2.471895e+00  +1.100000e+00
-1.583633e+02  +6.515270e+01  +4.339695e+01  0043     TA-H18K-  +1.072385e+00  -6.028417e+00  +1.172762e+00  +2.100000e+00
-1.583014e+02  +6.271610e+01  +3.545802e+01  0045     TA-K17K-  +8.679278e-03  -1.441455e-02  +7.581097e-01  +2.100000e+00
-1.582972e+02  +6.213440e+01  +3.576336e+01  0048     TA-L17K-  +2.498557e-03  -7.008274e-01  +8.272090e-01  +2.100000e+00
-1.581151e+02  +6.849460e+01  +4.522901e+01  0024     TA-D19K-  +6.806975e-03  -2.143088e+00  +4.614071e+00  +1.100000e+00
-1.580932e+02  +5.959380e+01  +3.698473e+01  0048     TA-O16K-  +3.458507e-03  -1.206362e+00  +1.374362e+00  +2.100000e+00
-1.579906e+02  +5.903140e+01  +2.596379e+01  0012     TA-P16K-  +9.464333e+00  +1.212060e+01  +1.223771e+00  +1.000000e-01
-1.577728e+02  +6.683320e+01  +3.545802e+01  0042     TA-F19K-  +2.104113e-02  +1.560665e+00  +1.282965e+00  +2.100000e+00
-1.574375e+02  +6.140090e+01  +3.133588e+01  0048     TA-M17K-  +4.016878e-01  +3.956018e+00  +1.909285e+00  +2.100000e+00
-1.572316e+02  +6.745720e+01  +3.652672e+01  0044     TA-E19K-  +5.562503e-03  +2.229898e+00  +2.704841e+00  +2.100000e+00
-1.571867e+02  +6.052690e+01  +3.332061e+01  0051     TA-N17K-  +9.618828e-03  +2.979463e+00  +7.982404e-01  +2.100000e+00
-1.571599e+02  +7.000790e+01  +3.255725e+01  0002     TA-B20K-  +6.324748e+00  +9.914229e+00  +1.485368e+00  +1.000000e-01
-1.570946e+02  +5.977330e+01  +3.729008e+01  0051     TA-O17K-  +7.923994e-03  -4.442911e-01  +1.462882e+00  +2.100000e+00
-1.570870e+02  +6.614340e+01  +3.774809e+01  0050     TA-G19K-  +1.005756e-01  -1.026194e+00  +7.521042e-01  +2.100000e+00
-1.568792e+02  +6.474610e+01  +3.928154e+01  0028     AK-GCSA-  +7.434002e-02  -2.276822e+00  +1.230308e+00  +2.100000e+00
-1.567154e+02  +6.346500e+01  +3.515267e+01  0052     TA-J18K-  +2.916429e-03  +8.145035e-01  +1.255016e+00  +2.100000e+00
-1.566886e+02  +6.221950e+01  +3.225191e+01  0040     TA-L18K-  +2.456518e-01  +2.731092e+00  +3.406885e+00  +1.100000e+00
-1.566556e+02  +5.867740e+01  +4.232824e+01  0020     TA-Q16K-  +8.002301e-01  -8.810408e+00  +2.395503e+00  +2.100000e+00
-1.566175e+02  +7.132210e+01  +3.316794e+01  0011     TA-A21K-  +2.163605e-01  +2.270650e+00  +6.869529e+00  +1.100000e+00
-1.566132e+02  +6.871320e+01  +5.255725e+01  0026     TA-D20K-  +5.002924e+00  -8.794605e+00  +4.406579e+00  +1.000000e-01
-1.564494e+02  +6.552760e+01  +3.606870e+01  0052     TA-H19K-  +1.043138e-01  +9.582921e-01  +7.317881e-01  +2.100000e+00
-1.564394e+02  +5.919530e+01  +4.339695e+01  0023     TA-P17K-  +2.394527e+00  -7.786201e+00  +1.409049e+00  +1.100000e+00
-1.563872e+02  +5.763970e+01  +2.797710e+01  0016     TA-R17K-  +6.334787e-02  +5.654924e+00  +4.215985e+00  +1.100000e+00
-1.561885e+02  +6.825750e+01  +4.965649e+01  0034     TA-E20K-  +2.106139e+00  -6.219039e+00  +4.401249e+00  +1.000000e-01
-1.560116e+02  +6.293010e+01  +3.694509e+01  0092      AT-TTA-  +5.882303e-02  -1.763767e+00  +9.113449e-01  +2.100000e+00
-1.558897e+02  +6.068010e+01  +3.301527e+01  0049     TA-N18K-  +3.188013e-01  +2.855323e+00  +6.340732e-01  +2.100000e+00
-1.558865e+02  +5.826370e+01  +2.187023e+01  0032     TA-Q17K-  +1.114819e+01  +1.276314e+01  +3.342018e+00  +1.000000e-01
-1.558242e+02  +6.149070e+01  +2.843511e+01  0037     TA-M18K-  +3.234270e-01  +7.169693e+00  +1.396377e+00  +1.100000e+00
-1.557251e+02  +6.704860e+01  +2.675573e+01  0041     TA-F20K-  +9.764908e+00  +1.425566e+01  +2.242883e+00  +1.000000e-01
-1.556225e+02  +5.582180e+01  +3.367406e+01  0011      AK-CHI-  +3.372556e-03  -5.036718e-01  +2.312118e+00  +2.100000e+00
-1.556217e+02  +6.110820e+01  +3.682827e+01  0202     AT-SVW2-  +1.865522e-02  -2.566927e+00  +1.662093e+00  +2.100000e+00
-1.556214e+02  +6.399400e+01  +3.576336e+01  0057     TA-J19K-  +5.853006e-03  +3.904652e-01  +7.363673e-01  +2.100000e+00
