gid,latitude,longitude,cgeoth_grad,cgeoth_grad_sym,cgeoth_grad_std_err,heat_flow,heat_flow_sym,heat_flow_std_err,cheat_flow,cheat_flow_sym,cheat_flow_std_err,quality_code
NV-03746,39.789896,-119.0186878,,,,3271.4,,,,,,G
NV-03748,40.5496053,-116.6066304,,,,295.63,,,,,,G
NV-03750,39.789896,-119.0089875,,,,2741.2,,,,,,G
NV-03759,40.5532027,-116.9220395,,,,303.03,,,,,,G
NV-03760,40.7028,-117.005444,,,,165.8475,,,,,,G
NV-03761,40.7876983,-117.0848474,,,,168.3045,,,,,,G
NV-03766,40.7770998,-116.9131424,,,,161.98,,,,,,G
NV-03767,40.4415022,-117.1656449,,,,128.9925,,,,,,G
PO-00428,48.6855542,-126.8774909,,,,61.5,,,,,,
NV-03770,40.6216049,-116.5315292,,,,233.415,,,,,,G
NV-03777,40.8361961,-117.2725535,,,,122.031,,,,,,G
NV-03781,40.9624954,-117.1667523,,,,181.545,,,,,,G
NV-03783,40.6040032,-116.7740359,,,,231.595,,,,,,G
NV-03784,40.566806,-116.4880272,,,,168.35,,,,,,G
NV-03788,40.9604971,-116.9647464,,,,157.248,,,,,,G
NV-03802,40.8703999,-116.7632394,,,,139.776,,,,,,G
PO-00429,48.6641545,-126.8558896,,,,59.5,,,,,,
NV-03804,40.9981869,-118.1345805,,,,1187.7,,,,,,G
NV-03813,40.997787,-118.1230802,,,,1794.5,,,,,,G
NV-03816,40.2309036,-117.3393469,,,,131.04,,,,,,G
NV-03818,40.459103,-117.0333413,,,,157.885,,,,,,G
NV-03823,40.991987,-118.1250801,,,,1158.1,,,,,,G
NV-03834,40.7302804,-119.286009,,,,,,,,,,G
NV-03845,40.0534006,-118.0059632,,,,343.98,,,,,,G
NV-03855,39.2406132,-117.969451,,,,184.275,,,,,,G
NV-03856,40.3614844,-119.3990067,,,,309.4,,,,,,G
NV-03858,40.3611842,-119.4170072,,,,498.68,,,,,,G
NV-03860,39.3879962,-119.7150012,,,,217.854,,,,,,G
NV-03862,40.6999072,-116.1176183,,,,0,,,,,,G
NV-03863,40.6832072,-116.1509191,,,,187,,,,,,G
NV-03864,37.8982594,-114.9141488,,,,320.6,,,,,,G
NV-03867,39.3557058,-118.6471714,,,,247.1,,,,,,G
NV-03874,39.3327059,-118.6711717,,,,355.6,,,,,,G
NV-03875,39.3857055,-118.618271,,,,468.72,,,,,,G
NV-03877,39.6005986,-119.051186,,,,134,,,,,,G
NV-03879,39.9513983,-118.4552744,,,,216,,,,,,G
NV-06551,38.508721,-118.5124562,,,,,,,,,,G
NV-03884,41.7298742,-118.5976715,,,,264.992,,,,,,G
NV-03887,41.5148778,-118.4659978,,,,188.552,,,,,,G
NV-03892,40.606596,-117.6464609,,,,2761,,,,,,G
NV-03895,39.4916045,-118.5467705,,,,1088,,,,,,G
NV-03896,40.5474052,-116.6166306,,,,230,,,,,,G
NV-03898,39.5327041,-118.5157702,,,,155,,,,,,G
NV-03900,39.520904,-118.5469709,,,,3330,,,,,,G
NV-03901,39.5494036,-118.5482713,,,,954,,,,,,G
NV-03903,39.8188957,-119.0002877,,,,923.34,,,,,,G
NV-03908,40.603596,-117.6464609,,,,1088,,,,,,G
NV-03915,40.5544054,-116.5746295,,,,430,,,,,,G
NV-03917,40.5201061,-116.5456282,,,,150,,,,,,G
NV-03918,40.5677053,-116.5769298,,,,280,,,,,,G
NV-03921,40.6035961,-117.6422607,,,,753,,,,,,G
NV-03922,40.5965962,-117.6419606,,,,624.26,,,,,,G
NV-03925,40.5997961,-117.6477608,,,,1274,,,,,,G
NV-03928,40.5945961,-117.6489608,,,,285,,,,,,G
NV-03929,40.606596,-117.6465609,,,,366.912,,,,,,G
NV-03933,40.2198881,-119.197999,,,,203.84,,,,,,G
NV-03940,41.0732372,-115.9642524,,,,,,,,,,G
NV-03956,41.9220714,-118.6831103,,,,260.4,,,,,,G
NV-03957,41.7579713,-118.8969139,,,,171.64,,,,,,G
NV-03960,41.9395704,-118.7699131,,,,266,,,,,,G
NV-03962,41.7814709,-118.9106146,,,,4075,,,,,,G
NV-03962,41.7814709,-118.9106146,,,,1285,,,,,,G
NV-03965,41.9766703,-118.7372127,,,,183.4,,,,,,G
NV-03969,41.8631718,-118.70431,,,,179.2,,,,,,G
NV-03973,38.299924,-118.5942557,,,,163,,,,,,G
NV-03980,39.503704,-118.5799716,,,,137.592,,,,,,G
NV-03981,39.5328036,-118.5759719,,,,415.324,,,,,,G
NV-03984,39.473004,-118.645973,,,,308.308,,,,,,G
NV-03985,39.6021022,-118.6129738,,,,124.852,,,,,,G
NV-03986,39.6342019,-118.5989739,,,,295.568,,,,,,G
NV-03987,39.4124048,-118.6572724,,,,157.92,,,,,,G
NV-03991,40.8831779,-119.3343127,,,,268,,,,,,G
NV-04005,40.4992467,-115.23419,,,,147.28,,,,,,G
NV-04021,40.7665811,-119.1510058,,,,,,,,,,G
NV-04023,40.7665809,-119.1677063,,,,,,,,,,G
NV-04025,40.7665809,-119.1677063,,,,,,,,,,G
NV-04771,39.3739061,-118.5759696,,,,37.7,,,,,,
NV-04026,40.7665811,-119.1510058,,,,,,,,,,G
NV-04027,40.7665811,-119.1510058,,,,,,,,,,G
NV-04028,40.7665811,-119.1510058,,,,406,,,,,,G
NV-04029,40.7665811,-119.1510058,,,,1302,,,,,,G
NV-04041,39.3890959,-119.7485021,,,,3088,,,,,,G
NV-04042,39.3940958,-119.7505022,,,,4585,,,,,,G
NV-04050,40.6200956,-117.6661617,,,,149,,,,,,G
NV-04053,39.5920982,-119.1059874,,,,139.23,,,,,,G
NV-04056,38.4832212,-118.5342565,,,,749.25,,,,,,G
NV-04058,39.8922068,-117.5376478,,,,243,,,,,,G
NV-04059,39.818208,-117.5209463,,,,293,,,,,,G
NV-04061,40.588691,-118.2671783,,,,693.31,,,,,,G
NV-04063,40.5956912,-118.2297773,,,,142.69,,,,,,G
NV-04067,40.7618955,-117.465158,,,,124.852,,,,,,G
NV-04075,40.3915839,-119.4077073,,,,0.6,,,,,,G
NV-04077,40.4115968,-117.8576641,38.7,,,138,,4,138,,,G
NV-04081,40.3665638,-117.8909644,,,,136,,,,,,G
NV-04089,39.3832536,-116.8092537,,,,127.946,,,,,,G
NV-04092,39.3615871,-116.8275873,,,,304.304,,,,,,G
NV-04101,39.856577,-117.1626034,,,,137.592,,,,,,G
NV-04102,39.8865767,-117.1459366,,,,366.912,,,,,,G
NV-04104,39.8882434,-117.14427,,,,481.572,,,,,,G
NM-06264,32.3209262,-108.1878111,,,,56.07,,,,,,A
NV-04123,39.8765768,-117.1609369,,,,259.896,,,,,,G
NV-04126,39.5098948,-119.6543346,,,,295.568,,,,,,G
NV-04127,39.3863962,-119.7230014,,,,425.516,,,,,,G
NV-04129,39.7652245,-115.5358891,,,,103.8,,,,,,B
NV-04129,39.7652245,-115.5358891,,,,169.2,,,,,,G
NV-04132,40.8398967,-117.2009515,,,,621.712,,,,,,G
NV-04133,40.8298966,-117.2209519,,,,127.4,,,,,,G
NV-04134,40.8248968,-117.2109516,,,,124.852,,,,,,G
NV-04140,39.901203,-117.9780603,,,,124.488,,,,,,G
NV-04143,39.8798929,-119.2179946,,,,380.38,,,,,,G
NV-04145,39.9848913,-119.2259963,,,,172.9,,,,,,G
NV-04146,39.8518932,-119.2339946,,,,276.64,,,,,,G
NV-04159,39.8828929,-119.2109944,,,,380.38,,,,,,G
NV-04163,39.9278925,-119.1879944,,,,138.32,,,,,,G
NV-04164,39.8218934,-119.262995,,,,,,,,,,G
NV-04167,39.8748922,-119.3129971,,,,138.32,,,,,,G
NV-04172,39.4591033,-118.7486756,,,,,,,,,,G
NV-04184,39.4890939,-119.7967049,,,,122.4,,,,,,G
NV-04188,39.5298936,-119.7630045,,,,162.07,,,,,,G
NV-04192,38.369921,-118.8009622,,,,,,,,,,G
NV-04193,39.7438919,-119.5690023,,,,131.04,,,,,,G
NV-04198,40.8583951,-117.3638564,,,,1140,,,,,,G
NV-04200,40.863695,-117.3647565,,,,1020,,,,,,G
NV-04200,40.863695,-117.3647565,,,,0,,,,,,G
NV-04773,39.3269067,-118.5869693,,,,,,,,,,
NV-04773,39.3269067,-118.5869693,,,,,,,,,,
NV-04773,39.3269067,-118.5869693,,,,2719.6,,,,,,
NV-04206,40.5425973,-117.5962586,,,,134,,,,,,G
NV-04207,40.5342976,-117.5735578,,,,234.78,,,,,,G
NV-04209,40.5856963,-117.6396604,,,,243,,,,,,G
NV-04210,40.5356974,-117.5927584,,,,158.34,,,,,,G
