# Lon        | Lat          | Moho Depth   | X   | Station    | Min Err      | Mean Err     | Variance     | Score 
-1.741975e+02  +5.220160e+01  +4.243575e+01  0134     AK-ATKA-  +2.068331e-01  -8.329854e+00  +1.109793e+01  +1.100000e+00
-1.717035e+02  +6.377580e+01  +3.332360e+01  0388     AK-GAMB-  +2.389046e-03  -9.374609e-01  +3.285921e+00  +2.100000e+00
-1.702477e+02  +5.717660e+01  +2.923481e+01  0105     AK-SPIA-  +3.337693e-03  +3.308831e+00  +7.032778e+00  +1.100000e+00
-1.688550e+02  +5.297210e+01  +1.965537e+01  0110     AK-NIKH-  +1.692840e+00  +1.456904e+01  +6.104917e+00  +1.100000e+00
-1.681619e+02  +5.335650e+01  +2.596379e+01  0027     AV-OKSO-  +6.209082e-01  +7.875593e+00  +4.945163e+00  +1.100000e+00
-1.679264e+02  +6.556010e+01  +3.285631e+01  0387      AK-TNA-  +6.783994e-03  +9.629958e-01  +4.263151e+00  +1.100000e+00
-1.669407e+02  +5.380820e+01  +3.729556e+01  0013     AV-MAPS-  +3.277224e-01  -4.192526e+00  +3.955131e+00  +2.100000e+00
-1.668780e+02  +5.379380e+01  +4.044977e+01  0013   AV-MGOD-00  +6.979820e-01  -7.431665e+00  +3.933200e+00  +2.100000e+00
-1.665040e+02  +5.384560e+01  +3.460865e+01  0133      AK-UNV-  +7.031314e-04  -1.582903e+00  +3.690812e+00  +2.100000e+00
-1.663288e+02  +6.547420e+01  +3.179389e+01  0045     TA-F14K-  +3.347149e-01  +1.555923e+00  +3.868258e+00  +2.100000e+00
-1.662011e+02  +6.038490e+01  +3.408397e+01  0017     TA-M11K-  +4.027950e-02  -2.185475e+00  +4.105199e+00  +1.100000e+00
-1.660708e+02  +5.412920e+01  +3.671145e+01  0069     AV-AKRB-  +2.378713e-01  -4.835733e+00  +3.586248e+00  +2.100000e+00
-1.659936e+02  +5.419790e+01  +3.442620e+01  0025     AV-AKGG-  +5.650442e-03  -2.229737e+00  +3.707013e+00  +2.100000e+00
-1.659576e+02  +5.416180e+01  +3.098715e+01  0037     AV-AKLV-  +7.415232e-03  +1.635304e+00  +4.272309e+00  +1.100000e+00
-1.659338e+02  +5.409750e+01  +3.192173e+01  0011     AV-AKBB-  +6.488855e-02  +6.947154e-01  +3.619111e+00  +2.100000e+00
-1.657719e+02  +5.413517e+01  +4.009930e+01  0033     AT-AKUT-  +2.763167e+00  -8.610526e+00  +3.565359e+00  +1.100000e+00
-1.653732e+02  +6.456460e+01  +3.308995e+01  0139      AK-ANM-  +3.133201e-04  -1.368086e-01  +3.075595e+00  +2.100000e+00
-1.653436e+02  +6.827460e+01  +5.377863e+01  0025     TA-C16K-  +9.394455e-01  -1.390128e+01  +5.361762e+00  +1.100000e+00
-1.653383e+02  +6.456950e+01  +3.285631e+01  0075    XR-NOM-01  +1.518425e-03  +1.824457e-01  +3.076089e+00  +2.100000e+00
-1.646555e+02  +6.193310e+01  +2.828244e+01  0033     TA-K13K-  +4.201153e+00  +6.265280e+00  +4.055050e+00  +1.000000e-01
-1.646483e+02  +6.570770e+01  +3.118321e+01  0048     TA-F15K-  +7.586608e-02  +2.261240e+00  +3.261962e+00  +2.100000e+00
-1.640386e+02  +6.499410e+01  +3.454198e+01  0037     TA-G15K-  +1.148786e-03  -1.166241e+00  +3.062130e+00  +2.100000e+00
-1.635540e+02  +6.274920e+01  +3.576336e+01  0057     TA-J14K-  +6.981317e-03  -2.582155e+00  +3.316381e+00  +2.100000e+00
-1.634175e+02  +5.485640e+01  +2.397780e+01  0102     AK-FALS-  +9.254955e-02  +9.336134e+00  +7.471507e+00  +1.100000e+00
-1.631776e+02  +6.847530e+01  +5.270992e+01  0013     TA-C17K-  +4.978041e+00  -1.274834e+01  +4.167663e+00  +1.000000e-01
-1.630831e+02  +6.769880e+01  +3.500000e+01  0018     TA-D17K-  +7.841520e-02  +3.544474e+00  +3.927399e+00  +2.100000e+00
